source,date,year,title,letterboxd_uri,rating,rewatch,review,tags,watched_date,content,comment
diary,2023-02-26,2023,Shaun of the Dead,https://boxd.it/3UuYOD,4,,,,2023-02-26,,
ratings,2023-02-26,2023,Notting Hill,https://boxd.it/2aeK,3.5,,,,,,
ratings,2023-02-26,2023,Shaun of the Dead,https://boxd.it/29J8,4,,,,,,
reviews,2023-02-26,2023,Shaun of the Dead,https://boxd.it/3UuYOD,4,,"It's a great ""Z"" movie....",,2023-02-26,,
diary,2023-02-27,2023,A History of Violence,https://boxd.it/3UBKy1,3.5,,,,2023-02-26,,
ratings,2023-02-27,2023,A History of Violence,https://boxd.it/2bfa,3.5,,,,,,
reviews,2023-02-27,2023,A History of Violence,https://boxd.it/3UBKy1,3.5,,"Jesus, Joey
Jesus, Richie",,2023-02-26,,
diary,2023-03-04,2023,Cha Cha Real Smooth,https://boxd.it/3W4wXX,3,,,,2023-03-04,,
ratings,2023-03-04,2023,Cha Cha Real Smooth,https://boxd.it/uF8E,3,,,,,,
reviews,2023-03-04,2023,Cha Cha Real Smooth,https://boxd.it/3W4wXX,3,,Dakota's voice and stare are the only damn thing in this movie,,2023-03-04,,
diary,2023-03-05,2023,Hot Fuzz,https://boxd.it/3W8eXD,4,,,,2023-03-04,,
diary,2023-03-05,2023,Vinnaithaandi Varuvaayaa,https://boxd.it/3WoADR,4,Yes,,,2023-03-05,,
ratings,2023-03-05,2023,Hot Fuzz,https://boxd.it/2416,4,,,,,,
ratings,2023-03-05,2023,Vinnaithaandi Varuvaayaa,https://boxd.it/1796,4,,,,,,
reviews,2023-03-05,2023,Hot Fuzz,https://boxd.it/3W8eXD,4,,"God, Sanford is god damn village....",,2023-03-04,,
reviews,2023-03-05,2023,Vinnaithaandi Varuvaayaa,https://boxd.it/3WoADR,4,Yes,<blockquote><i>Enakku antha pain pudichurukku..</i></blockquote>Jessie.... Jessie.... Jessie....,,2023-03-05,,
diary,2023-03-16,2023,Five Feet Apart,https://boxd.it/3ZhivN,3,,,,2023-03-15,,
